row_type,generation,rank,population_size,score,score_mean,score_median,score_std,score_min,score_max,best_rank,best_tree_summary,mean_score,field_count,trials_per_field,total_eval_runs,agent_count,seed,field_seed,eval_field_index,eval_trial_index,eval_field_seed,eval_run_seed,max_steps,steps_executed,converged,converge_step,best_field_final,mean_field_final,best_field_min_over_run,improvement_from_start,swarm_radius_final,avg_speed_final,runtime_ms,tree_summary
candidate,2,3,,106.38505842012,,,,,,,,106.38505842012,10,10,100,5,100,20260416,9,9,20260416,100,7500,1032,1,1032,-202.915,-201.976,-202.994,174.657,2.92639,0.524784,15.0982,"0: split feature=speed threshold=3.7339 | 1: split feature=neighbor_count threshold=6.1714 | 2: split feature=neighbor_count threshold=0.9170 | 3: split feature=nearest_neighbor_distance threshold=44.1348 | 4: split feature=field_delta threshold=8.0071 | 5: split feature=speed threshold=1.7591 | 6: split feature=neighbor_count threshold=0.0768 | 7: leaf actions=[0, 1, 1, 1] | 8: leaf actions=[-1, 1, -1, 0] | 9: leaf actions=[0, -1, -1, 1] | 10: leaf actions=[0, 1, 1, 0] | 11: leaf actions=[1, 0, 1, 1] | 12: leaf actions=[0, 1, 1, 1] | 13: leaf actions=[0, 0, 0, -1] | 14: leaf actions=[1, 0, 1, -1]"
candidate,2,4,,106.38505356587001,,,,,,,,106.38505356587001,10,10,100,5,100,20260416,9,9,20260416,100,7500,1032,1,1032,-202.915,-201.976,-202.994,174.657,2.92639,0.524784,15.5612,"0: split feature=speed threshold=3.7339 | 1: split feature=neighbor_count threshold=6.1714 | 2: split feature=neighbor_count threshold=0.9170 | 3: split feature=nearest_neighbor_distance threshold=44.1348 | 4: split feature=mean_neighbor_distance threshold=13.2865 | 5: split feature=speed threshold=1.7591 | 6: split feature=neighbor_count threshold=0.0768 | 7: leaf actions=[0, 1, 1, 1] | 8: leaf actions=[-1, 1, -1, 0] | 9: leaf actions=[0, -1, 1, 0] | 10: leaf actions=[0, 1, 0, -1] | 11: leaf actions=[1, 0, 1, 1] | 12: leaf actions=[0, 1, 1, 1] | 13: leaf actions=[0, 0, 0, -1] | 14: leaf actions=[1, 0, 1, -1]"
candidate,2,5,,106.38503027643998,,,,,,,,106.38503027643998,10,10,100,5,100,20260416,9,9,20260416,100,7500,1032,1,1032,-202.915,-201.976,-202.994,174.657,2.92639,0.524784,15.7394,"0: split feature=speed threshold=3.7339 | 1: split feature=neighbor_count threshold=6.1714 | 2: split feature=neighbor_count threshold=0.9170 | 3: split feature=nearest_neighbor_distance threshold=44.1348 | 4: split feature=nearest_neighbor_distance threshold=29.2299 | 5: split feature=speed threshold=1.7591 | 6: split feature=neighbor_count threshold=0.0768 | 7: leaf actions=[0, 1, 1, 1] | 8: leaf actions=[-1, 1, -1, 0] | 9: leaf actions=[1, 1, 0, 1] | 10: leaf actions=[1, 1, 1, 0] | 11: leaf actions=[1, 0, 1, 1] | 12: leaf actions=[0, 1, 1, 1] | 13: leaf actions=[0, 0, 0, -1] | 14: leaf actions=[1, 0, 1, -1]"
generation,2,,30,106.59170536947663,101.42784426749608,103.05234229619523,4.392272043800444,90.26426395420998,106.59170536947663,1,"0: split feature=speed threshold=0.9230 | 1: split feature=neighbor_count threshold=9.4861 | 2: split feature=nearest_neighbor_distance threshold=2.5053 | 3: split feature=speed threshold=5.0000 | 4: split feature=neighbor_count threshold=10.7330 | 5: split feature=neighbor_count threshold=6.7793 | 6: split feature=speed threshold=3.1607 | 7: leaf actions=[-1, 1, -1, -1] | 8: leaf actions=[-1, 1, -1, 1] | 9: leaf actions=[1, -1, 0, 0] | 10: leaf actions=[1, 1, 0, -1] | 11: leaf actions=[1, 0, 1, -1] | 12: leaf actions=[-1, -1, 0, 0] | 13: leaf actions=[1, 1, 0, 1] | 14: leaf actions=[-1, -1, 0, 0]",106.59170536947663,10,10,100,5,100,20260416,9,9,20260416,100,7500,1351.3333333333333,1.0,771,-197.3941,-188.96913333333333,-203.001,171.20256666666666,7.229075196666667,1.514751938,19.946561666666668,
candidate,3,1,,113.68342908639951,,,,,,,,113.68342908639951,10,10,100,5,100,20260416,9,9,20260416,100,7500,897,1,897,-176.054,-175.279,-203.001,174.663,0.235569,3.07529,14.1033,"0: split feature=speed threshold=3.7339 | 1: split feature=neighbor_count threshold=9.4861 | 2: split feature=neighbor_count threshold=0.9170 | 3: split feature=speed threshold=5.0000 | 4: split feature=neighbor_count threshold=10.7330 | 5: split feature=speed threshold=1.7591 | 6: split feature=neighbor_count threshold=0.0768 | 7: leaf actions=[-1, 1, -1, -1] | 8: leaf actions=[-1, 1, -1, 1] | 9: leaf actions=[1, -1, 0, 0] | 10: leaf actions=[1, 1, 0, -1] | 11: leaf actions=[1, 0, 1, 1] | 12: leaf actions=[0, 1, 1, 1] | 13: leaf actions=[0, 0, 0, -1] | 14: leaf actions=[1, 0, 1, -1]"
candidate,3,2,,108.27086785657995,,,,,,,,108.27086785657995,10,10,100,5,100,20260416,9,9,20260416,100,7500,569,1,569,-51.2913,-48.9043,-202.995,141.627,2.85485,3.46713,8.63867,"0: split feature=speed threshold=3.7339 | 1: split feature=accel threshold=5.1958 | 2: split feature=neighbor_count threshold=0.9170 | 3: split feature=nearest_neighbor_distance threshold=44.1348 | 4: split feature=nearest_neighbor_distance threshold=50.0000 | 5: split feature=speed threshold=1.3855 | 6: split feature=neighbor_count threshold=0.3612 | 7: leaf actions=[-1, 0, -1, 0] | 8: leaf actions=[-1, 1, 1, -1] | 9: leaf actions=[-1, -1, 1, 1] | 10: leaf actions=[1, 1, 1, 0] | 11: leaf actions=[1, 1, -1, 0] | 12: leaf actions=[0, 1, 1, 1] | 13: leaf actions=[0, 0, 0, -1] | 14: leaf actions=[1, 0, 0, -1]"
candidate,3,3,,106.59170821815658,,,,,,,,106.59170821815658,10,10,100,5,100,20260416,9,9,20260416,100,7500,771,1,771,-159.078,-152.344,-202.982,174.305,2.84966,1.61415,11.7358,"0: split feature=speed threshold=0.9230 | 1: split feature=neighbor_count threshold=9.4861 | 2: split feature=nearest_neighbor_distance threshold=2.5053 | 3: split feature=speed threshold=5.0000 | 4: split feature=neighbor_count threshold=10.7330 | 5: split feature=neighbor_count threshold=6.7793 | 6: split feature=speed threshold=3.1607 | 7: leaf actions=[-1, 1, -1, -1] | 8: leaf actions=[-1, 1, -1, 1] | 9: leaf actions=[1, -1, 0, 0] | 10: leaf actions=[1, 1, 0, -1] | 11: leaf actions=[1, 0, 1, -1] | 12: leaf actions=[-1, -1, 0, 0] | 13: leaf actions=[1, 1, 0, 1] | 14: leaf actions=[-1, -1, 0, 0]"
candidate,3,4,,106.59164296898668,,,,,,,,106.59164296898668,10,10,100,5,100,20260416,9,9,20260416,100,7500,771,1,771,-159.078,-152.344,-202.982,174.305,2.84966,1.61415,11.8196,"0: split feature=speed threshold=0.9230 | 1: split feature=neighbor_count threshold=9.4861 | 2: split feature=nearest_neighbor_distance threshold=2.5053 | 3: split feature=speed threshold=5.0000 | 4: split feature=neighbor_count threshold=10.7330 | 5: split feature=neighbor_count threshold=6.7793 | 6: split feature=speed threshold=3.1607 | 7: leaf actions=[-1, 1, -1, -1] | 8: leaf actions=[-1, 1, -1, 1] | 9: leaf actions=[1, -1, 0, 0] | 10: leaf actions=[1, 1, 0, -1] | 11: leaf actions=[1, 0, 1, -1] | 12: leaf actions=[-1, -1, 0, 0] | 13: leaf actions=[1, 1, 0, 1] | 14: leaf actions=[-1, -1, 0, 0]"
candidate,3,5,,106.38504815344,,,,,,,,106.38504815344,10,10,100,5,100,20260416,9,9,20260416,100,7500,1032,1,1032,-202.915,-201.976,-202.994,174.657,2.92639,0.524784,15.5709,"0: split feature=speed threshold=3.7339 | 1: split feature=neighbor_count threshold=6.1714 | 2: split feature=neighbor_count threshold=0.9170 | 3: split feature=nearest_neighbor_distance threshold=44.1348 | 4: split feature=nearest_neighbor_distance threshold=29.2299 | 5: split feature=speed threshold=1.7591 | 6: split feature=neighbor_count threshold=0.0768 | 7: leaf actions=[0, 1, 1, 1] | 8: leaf actions=[-1, 1, -1, 0] | 9: leaf actions=[1, 1, 0, 1] | 10: leaf actions=[1, 1, 1, 0] | 11: leaf actions=[1, 0, 1, 1] | 12: leaf actions=[0, 1, 1, 1] | 13: leaf actions=[0, 0, 0, -1] | 14: leaf actions=[1, 0, 1, -1]"
generation,3,,30,113.68342908639951,101.11968657183361,103.32567302210938,6.505317325287575,84.34725559326539,113.68342908639951,1,"0: split feature=speed threshold=3.7339 | 1: split feature=neighbor_count threshold=9.4861 | 2: split feature=neighbor_count threshold=0.9170 | 3: split feature=speed threshold=5.0000 | 4: split feature=neighbor_count threshold=10.7330 | 5: split feature=speed threshold=1.7591 | 6: split feature=neighbor_count threshold=0.0768 | 7: leaf actions=[-1, 1, -1, -1] | 8: leaf actions=[-1, 1, -1, 1] | 9: leaf actions=[1, -1, 0, 0] | 10: leaf actions=[1, 1, 0, -1] | 11: leaf actions=[1, 0, 1, 1] | 12: leaf actions=[0, 1, 1, 1] | 13: leaf actions=[0, 0, 0, -1] | 14: leaf actions=[1, 0, 1, -1]",113.68342908639951,10,10,100,5,100,20260416,9,9,20260416,100,7500,1886.0333333333333,0.9,897,-186.49578666666667,-176.70056666666667,-203.001,164.7437,13.153545196666666,1.509621099,28.465812333333332,
