step,time,best_field,mean_field,cumulative_best_mean,avg_speed,swarm_radius
75,7.5,-106.178495,-47.94065267,-47.9614649,4.999999809,49.37457472
76,7.6,-106.0147319,-48.64529539,-48.69886022,5,49.96012334
77,7.7,-105.7598471,-49.30678329,-49.41132509,4.975410461,50.54203556
78,7.8,-105.4350179,-49.92896117,-50.09916093,4.910803795,51.11917334
79,7.9,-105.0712179,-50.51808102,-50.77089375,4.80031929,51.68955946
80,8,-104.7052829,-51.08214129,-51.42616898,4.647221613,52.25117445
81,8.1,-104.3749707,-51.62983644,-52.06470469,4.456341362,52.80196461
82,8.2,-104.1144734,-52.16959366,-52.68629266,4.23292408,53.3398288
83,8.3,-103.9502097,-52.70863326,-53.29078583,3.98302505,53.86258623
84,8.4,-103.8971755,-53.25183811,-53.87780691,3.693916214,54.36060387
85,8.5,-103.9520157,-53.80137252,-54.44781647,3.546812737,54.82334531
86,8.6,-104.1173396,-54.36130845,-55.00629467,3.543288016,55.24306228
87,8.7,-104.3803857,-54.93309584,-55.55930946,3.506848979,55.61221083
88,8.8,-104.7163999,-55.51622837,-56.10638377,3.431140924,55.9235839
89,8.9,-105.0914122,-56.11023107,-56.64704632,3.391515169,56.16897027
90,9,-105.4659567,-56.6990976,-57.18082284,3.491609192,56.3496351
91,9.1,-105.7998813,-57.27588398,-57.70725254,3.537232256,56.46141151
92,9.2,-106.0489105,-57.83466184,-58.22587866,3.487445104,56.50053799
93,9.3,-106.199209,-58.38158093,-58.73625582,3.461027414,56.47347831
94,9.4,-106.2496053,-58.89913213,-59.23794915,3.536559689,56.4338592
95,9.5,-106.201548,-59.38594651,-59.73053699,3.585519564,56.38069616
96,9.6,-106.0675837,-59.8433981,-60.21361647,3.593516123,56.31479638
97,9.7,-105.8716134,-60.27533009,-60.68679884,3.561369658,56.23709893
98,9.8,-105.6454935,-60.68737858,-61.14971147,3.491518962,56.14854774
99,9.9,-105.424778,-61.08613,-61.60200166,3.386996341,56.05006598
100,10,-105.2435627,-61.47808609,-62.04333495,3.252675354,55.94251621
101,10.1,-105.1296132,-61.86868415,-62.47339703,3.094564533,55.82663674
102,10.2,-105.1000244,-62.26139868,-62.89189428,2.921295089,55.702831
103,10.3,-105.1513215,-62.65574222,-63.2985557,2.965012562,55.56947795
104,10.4,-105.2857049,-63.05247495,-63.69313096,3.147145343,55.43050741
105,10.5,-105.484712,-63.44830826,-64.07539282,3.31824429,55.28801693
106,10.6,-105.7180858,-63.8376399,-64.44513593,3.472059822,55.14373365
107,10.7,-105.9480099,-64.21337511,-64.80217697,3.603418756,54.99918065
108,10.8,-106.1341502,-64.56790453,-65.14635658,3.707122064,54.85569057
109,10.9,-106.2390066,-64.89415632,-65.47753613,3.76277355,54.71460583
110,11,-106.2430215,-65.18860083,-65.79559611,3.739694405,54.57734057
111,11.1,-106.1469579,-65.45172657,-66.10043899,3.717171037,54.4442456
112,11.2,-105.9534847,-65.68435205,-66.39198378,3.690136492,54.31554587
113,11.3,-105.6772714,-65.88964876,-66.67016831,3.631970108,54.19149926
114,11.4,-105.3446299,-66.0730883,-66.93494802,3.544442606,54.07217056
115,11.5,-104.9899448,-66.24171664,-67.18629467,3.430926889,53.957382
116,11.6,-104.6510429,-66.40326831,-67.42783725,3.294086283,53.84671371
117,11.7,-104.3620672,-66.56542978,-67.67058458,3.119681349,53.73928655
118,11.8,-104.1502672,-66.73584351,-67.91418281,2.915169138,53.63400951
119,11.9,-104.0328533,-66.92117717,-68.15826936,2.689027643,53.52954053
120,12,-104.0141731,-67.12608677,-68.4024765,2.452449858,53.42395743
121,12.1,-104.065042,-67.34880335,-68.64643343,2.424261405,53.31303117
122,12.2,-104.1876071,-67.59014968,-68.88977112,2.489646855,53.18737022
123,12.3,-104.3750996,-67.86900694,-69.13212765,2.567606223,53.07661917
124,12.4,-104.61409,-68.20376489,-69.37314926,2.832164383,52.95658847
125,12.5,-104.8858155,-68.57849094,-69.61249618,3.114100564,52.78091073
126,12.6,-105.1678176,-68.97107041,-69.84984203,3.395814681,52.52821284
127,12.7,-105.435991,-69.35908945,-70.08488011,3.757306707,52.19091819
128,12.8,-105.6675095,-69.72913906,-70.31732005,4.024013579,51.79860947
129,12.9,-105.8419303,-70.07753853,-70.54689321,4.254165435,51.35978841
130,13,-105.9437761,-70.40013514,-70.77335479,4.435918999,50.88056951
131,13.1,-105.964919,-70.69441399,-70.99648437,4.593343687,50.36486463
132,13.2,-105.9063642,-70.95874176,-71.21609022,4.720141077,49.81674218
133,13.3,-105.778811,-71.19302439,-71.51341345,4.818383408,49.23968816
134,13.4,-105.6016054,-71.3907895,-71.84861021,4.795665455,48.64595298
135,13.5,-105.4004248,-71.55560465,-72.17328178,4.655225801,48.05583139
136,13.6,-105.2034983,-71.69930818,-72.48642527,4.46218257,47.48343893
137,13.7,-105.1148348,-71.83511828,-72.78699992,4.222479725,46.94234397
138,13.8,-105.4026602,-71.97630666,-73.07391034,3.94308362,46.44536067
139,13.9,-105.648018,-72.13433147,-73.34600501,3.634902388,46.00326365
140,14,-105.8474891,-72.31853463,-73.60207457,3.444931829,45.62665944
141,14.1,-105.9974729,-72.53385085,-73.84084935,3.424005187,45.32009113
142,14.2,-106.0941859,-72.78264576,-74.06098786,3.384313903,45.08889886
143,14.3,-106.1439381,-72.97833937,-74.2631342,3.542031944,44.78752259
144,14.4,-106.1563924,-73.15587539,-74.44856334,3.436910409,44.51275841
145,14.5,-106.1428458,-73.34803696,-74.62155915,3.472269547,44.29733369
146,14.6,-106.1159061,-73.51275106,-74.78726654,3.653818512,44.07065361
147,14.7,-106.0881655,-73.61300304,-74.94970708,3.752896118,43.78775148
148,14.8,-106.0700722,-73.63620417,-75.10902254,3.764998174,43.44390482
149,14.9,-106.0676501,-73.59269613,-75.2653543,3.718214631,43.06395509
150,15,-106.0522667,-73.50190703,-75.4188349,3.610983753,42.67376641
151,15.1,-106.0235475,-73.41869426,-75.56959088,3.253886414,42.33246581
152,15.2,-105.9828545,-73.38034566,-75.71773779,2.80396415,42.07549264
153,15.3,-105.9332205,-73.41235328,-75.86338085,2.293392546,41.91954688
154,15.4,-105.8790985,-73.43146269,-76.00661075,2.14461422,41.71089268
155,15.5,-105.825925,-73.5359996,-76.14750326,1.648493788,41.60366156
156,15.6,-105.7795716,-73.71806391,-76.28611577,1.83788054,41.5868694
157,15.7,-105.7457561,-73.97007813,-76.4224907,2.033415139,41.65765487
158,15.8,-105.7294837,-74.27483643,-76.556656,2.205177337,41.8022276
159,15.9,-105.7713054,-74.6166964,-76.68861943,2.547946095,42.01567314
160,16,-105.8541479,-74.95521448,-76.81837161,2.911087823,42.25737851
161,16.1,-105.9646302,-75.2740846,-76.94588247,3.262531328,42.49885237
162,16.2,-106.0852087,-75.55247449,-77.07110345,3.577161241,42.70969693
163,16.3,-106.1944218,-75.76806676,-77.20157295,3.844037342,42.85903871
164,16.4,-106.2563941,-75.92096121,-77.33439059,3.937008667,42.92202028
165,16.5,-106.2741733,-76.01177421,-77.46310347,3.942580462,42.88921404
166,16.6,-106.253019,-76.05885403,-77.66868328,3.863377714,42.77646714
167,16.7,-106.1998192,-76.09474762,-77.86514318,3.692025518,42.62954842
168,16.8,-106.1225059,-76.14810563,-78.0416128,3.390536928,42.50900461
169,16.9,-106.0294497,-76.2225541,-78.19761121,3.083610165,42.4398735
170,17,-105.9289211,-76.30600201,-78.33271877,2.794019186,42.408875
171,17.1,-105.828651,-76.42928495,-78.44657771,2.688401657,42.43145396
172,17.2,-105.7354944,-76.5669706,-78.54253696,2.823234756,42.45617694
173,17.3,-105.6552223,-76.67896834,-78.63458124,3.038293958,42.40107997
174,17.4,-105.5923859,-76.72526027,-78.72246237,3.168358922,42.22709467
175,17.5,-105.5865237,-76.70621018,-78.805911,3.060342634,41.9298761
176,17.6,-105.627284,-76.63332464,-78.88341869,3.195528615,41.54731614
177,17.7,-105.7126663,-76.52980723,-78.95441687,3.349878883,41.11176929
178,17.8,-105.8220534,-76.41558551,-79.01793741,3.433193874,40.65728903
179,17.9,-105.92134,-76.30426768,-79.0728569,3.464707708,40.21284489
180,18,-105.963404,-76.19940996,-79.1172857,3.365376568,39.81125029
181,18.1,-105.9251827,-76.10521529,-79.14894748,3.190556228,39.4800945
182,18.2,-105.797617,-76.03043439,-79.16535592,3.076116228,39.2344985
183,18.3,-105.596723,-76.00045761,-79.17484556,3.013791418,39.07048671
184,18.4,-105.5987306,-76.02108199,-79.17715095,3.184552491,38.99135068
185,18.5,-105.572877,-76.09130999,-79.25493412,3.475512481,38.99703977
186,18.6,-105.5080568,-76.20403471,-79.38405652,3.72544446,39.08364919
187,18.7,-105.4039578,-76.34591938,-79.52688833,3.898013544,39.24275182
188,18.8,-105.2626279,-76.48734479,-79.65833337,3.861184025,39.44995387
189,18.9,-105.0886885,-76.6226562,-79.77942062,3.76450119,39.69109789
190,19,-104.8893222,-76.74386783,-79.89118515,3.619824576,39.94763954
191,19.1,-104.6740105,-76.83871516,-79.99464979,3.428868556,40.19348931
192,19.2,-104.4539674,-76.89122755,-80.09080986,3.194416273,40.39496265
193,19.3,-104.2407191,-76.88545357,-80.18061649,2.922979283,40.51453434
194,19.4,-104.1242368,-76.83143007,-80.26496776,2.479150063,40.53012682
195,19.5,-104.1168286,-76.72866041,-80.32438758,2.149567875,40.44486432
196,19.6,-104.2030327,-76.61889452,-80.35539268,2.052200311,40.30523459
197,19.7,-104.3955491,-76.54740377,-80.35545025,2.153939843,40.17146213
198,19.8,-104.6665416,-76.51216384,-80.35545025,2.33217774,40.06804662
199,19.9,-104.9355696,-76.48599347,-80.35545025,2.487051141,39.98684024
200,20,-105.0912239,-76.48119681,-80.35545025,2.263794124,39.92649023
201,20.1,-105.1302601,-76.47601722,-80.35545025,1.880135459,39.87031946
202,20.2,-105.1003707,-76.47666216,-80.35545025,1.43668105,39.82955652
203,20.3,-105.0338159,-76.48549399,-80.35545025,1.530655575,39.75271231
204,20.4,-104.9538384,-76.357942,-80.35545025,2.021103704,39.50396904
205,20.5,-104.9030173,-76.1733572,-80.35545025,2.308748901,39.17890312
206,20.6,-104.9074722,-75.99851001,-80.44435133,2.59628849,38.83874723
207,20.7,-104.9784323,-75.88055735,-80.61478615,2.79543196,38.52113232
208,20.8,-105.0835212,-75.77656686,-80.77374937,2.639264417,38.23537352
209,20.9,-105.2367434,-75.69718873,-80.91880479,2.544773197,37.99158903
210,21,-105.4431483,-75.64572849,-81.04825758,2.528928781,37.79566955
211,21.1,-105.6909946,-75.65155495,-81.17900687,2.496616438,37.66349236
212,21.2,-105.9043117,-75.6835547,-81.31541934,2.607146966,37.56972012
213,21.3,-106.0330375,-75.71835094,-81.41515666,2.637762809,37.49581051
214,21.4,-106.1154618,-75.74597595,-81.47846255,2.68904711,37.43687823
215,21.5,-106.271294,-75.75610753,-81.50962898,2.767699641,37.38711211
216,21.6,-106.3129005,-75.73988764,-81.51795029,2.865568927,37.34329492
217,21.7,-106.241338,-75.69006756,-81.51795029,2.919290581,37.29609339
218,21.8,-106.0563336,-75.42388819,-81.51795029,3.347848368,37.03448069
219,21.9,-105.771433,-75.0939162,-81.51795029,3.223601151,36.75324311
220,22,-105.4560313,-74.72712176,-81.51795029,2.94028821,36.47954152
221,22.1,-105.1587746,-74.33702782,-81.51795029,2.654330826,36.21483923
222,22.2,-104.9205199,-73.93459857,-81.51795029,2.37537508,35.95941152
223,22.3,-104.7683747,-73.52672213,-81.51795029,2.123273826,35.71131961
224,22.4,-104.7000678,-73.08637524,-81.51795029,2.062636018,35.44912146
225,22.5,-104.6319592,-72.61792136,-81.51795029,1.855404019,35.1641412
226,22.6,-104.6263447,-72.18936785,-81.51795029,1.583911216,34.88321735
227,22.7,-104.5851771,-71.77652319,-81.51795029,1.591770118,34.5909296
228,22.8,-104.554366,-71.39279715,-81.51795029,1.518911046,34.29477477
229,22.9,-104.5632659,-71.04551825,-81.51795029,1.455514054,33.99490215
230,23,-104.6308052,-70.73572509,-81.51795029,1.555776012,33.68608923
231,23.1,-104.7396864,-70.45221531,-81.51795029,1.692885464,33.3576341
232,23.2,-104.85413,-70.17667429,-81.51795029,1.847397706,32.99925273
233,23.3,-104.9405022,-69.89335059,-81.51795029,2.041862649,32.602986
234,23.4,-104.9753922,-69.5862638,-81.51795029,2.250270268,32.16069797
235,23.5,-104.9467689,-69.25086985,-81.51795029,2.40780406,31.6778302
236,23.6,-104.8519452,-68.91857837,-81.51795029,2.476433855,31.18652866
237,23.7,-104.6949095,-68.54762224,-81.51795029,2.672300506,30.66878925
238,23.8,-104.4838761,-68.15367945,-81.51795029,2.800962615,30.13454272
239,23.9,-104.3176503,-67.75432495,-81.51795029,2.761232662,29.6013316
240,24,-104.2130626,-67.35074691,-81.51795029,2.7029284,29.07037004
241,24.1,-104.0883245,-66.96411009,-81.51795029,2.628407931,28.54291079
242,24.2,-103.9654582,-66.54103357,-81.51795029,2.618973625,28.00963141
243,24.3,-103.850808,-66.09648936,-81.51795029,2.601554692,27.47401955
244,24.4,-103.7441791,-65.64388664,-81.51795029,2.573206007,26.93915676
245,24.5,-103.6440319,-65.25469432,-81.51795029,2.380633903,26.41899874
246,24.6,-103.5351688,-64.92367013,-81.51795029,2.181537557,25.91436336
247,24.7,-103.3743395,-64.65690405,-81.51795029,2.028641725,25.42472024
248,24.8,-103.1539256,-64.48321586,-81.51795029,1.857135874,24.95046822
249,24.9,-102.8790904,-64.40682668,-81.51795029,1.621918675,24.49461803
250,25,-102.5772768,-64.38863312,-81.51795029,1.493853995,24.05104253
251,25.1,-102.2672889,-64.35769091,-81.51795029,1.692850184,23.58971284
252,25.2,-102.0992118,-64.28643159,-81.51795029,1.680445534,23.12274321
253,25.3,-101.9442121,-64.18637235,-81.51795029,1.784170219,22.64650778
254,25.4,-101.8417388,-64.1637278,-81.51795029,1.679676592,22.19111002
255,25.5,-101.9518314,-64.17824368,-81.51795029,1.756140721,21.74556758
256,25.6,-102.1399011,-64.23312363,-81.51795029,1.839687622,21.31029332
257,25.7,-102.4041589,-64.39427417,-81.51795029,1.77722857,20.89553829
258,25.8,-102.7363299,-64.66103626,-81.51795029,1.71915465,20.50019426
259,25.9,-103.1229602,-65.03088234,-81.51795029,1.672039601,20.12345235
260,26,-103.5468896,-65.43155183,-81.51795029,1.84633548,19.74691584
261,26.1,-103.9886433,-65.85643846,-81.51795029,2.101758659,19.3684581
262,26.2,-104.4280749,-66.33694105,-81.51795029,1.95132432,19.00279291
263,26.3,-104.8459989,-66.84632468,-81.51795029,1.993702465,18.6446169
264,26.4,-105.2254423,-67.29290756,-81.51795029,2.086688745,18.2675993
265,26.5,-105.5526424,-67.75300575,-81.51795029,2.112195542,17.88417207
266,26.6,-105.817889,-68.21611142,-81.51795029,2.104986143,17.4998941
267,26.7,-106.0159384,-68.74280091,-81.51795029,1.997082913,17.12589708
268,26.8,-106.1460457,-69.32232817,-81.53053558,1.841691045,16.75264332
269,26.9,-106.211519,-70.01759156,-81.54363024,1.962983346,16.397036
270,27,-106.2190059,-70.78212187,-81.54512763,2.150328922,16.04321856
271,27.1,-106.1774717,-71.62892683,-81.54512763,2.372213894,15.7011796
272,27.2,-106.0969991,-72.59126151,-81.54512763,2.740410662,15.38151712
273,27.3,-105.9875417,-73.56299839,-82.15654463,2.809669781,15.05661249
274,27.4,-105.8577414,-74.58765715,-82.85685616,3.03305285,14.73343145
275,27.5,-105.7139053,-75.64072789,-83.56947716,3.253972673,14.4075196
276,27.6,-105.5593665,-76.70014144,-84.29285027,3.47152071,14.0766246
277,27.7,-105.394345,-77.75244442,-85.02540316,3.628278518,13.74250129
278,27.8,-105.2162916,-78.78926367,-85.7655528,3.662640572,13.40563007
279,27.9,-105.0204663,-79.80644419,-86.51170667,3.829601336,13.07403681
280,28,-104.8004806,-80.77110058,-87.26225641,3.61960693,12.73902423
281,28.1,-104.5488875,-81.66540865,-88.01558513,3.676880822,12.40138628
282,28.2,-104.2576203,-82.49553857,-88.77005457,3.887840784,12.06571257
283,28.3,-103.9186653,-83.29926845,-89.52401084,4.063386464,11.74352009
284,28.4,-103.5262375,-84.05027759,-90.27577366,4.117174768,11.42524668
285,28.5,-103.0771791,-84.74529874,-91.02364541,4.164345217,11.11046228
